num,KOHEZIJSKA / STATISTIČNA REGIJA,SPOL,LETO,MERITVE
449508,Vzhodna Slovenija,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
462949,Vzhodna Slovenija,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
447274,Vzhodna Slovenija,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
431530,Vzhodna Slovenija,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
426943,Vzhodna Slovenija,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
418163,Vzhodna Slovenija,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
409547,Vzhodna Slovenija,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
410433,Vzhodna Slovenija,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
417469,Vzhodna Slovenija,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
420715,Vzhodna Slovenija,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
434543,Vzhodna Slovenija,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
447679,Vzhodna Slovenija,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
457595,Vzhodna Slovenija,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
454587,Vzhodna Slovenija,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
245815,Vzhodna Slovenija,Moški,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
241055,Vzhodna Slovenija,Moški,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
234853,Vzhodna Slovenija,Moški,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
229003,Vzhodna Slovenija,Moški,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
231941,Vzhodna Slovenija,Moški,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
234755,Vzhodna Slovenija,Moški,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
233861,Vzhodna Slovenija,Moški,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
242004,Vzhodna Slovenija,Moški,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
248320,Vzhodna Slovenija,Moški,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
255127,Vzhodna Slovenija,Moški,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
252268,Vzhodna Slovenija,Moški,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Ženske,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Ženske,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Ženske,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Ženske,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Vzhodna Slovenija,Ženske,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
185715,Vzhodna Slovenija,Ženske,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
185888,Vzhodna Slovenija,Ženske,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
183310,Vzhodna Slovenija,Ženske,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
180545,Vzhodna Slovenija,Ženske,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
178492,Vzhodna Slovenija,Ženske,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
182714,Vzhodna Slovenija,Ženske,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
186854,Vzhodna Slovenija,Ženske,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
192539,Vzhodna Slovenija,Ženske,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
199359,Vzhodna Slovenija,Ženske,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
202469,Vzhodna Slovenija,Ženske,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
202319,Vzhodna Slovenija,Ženske,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
45768,Pomurska,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
46361,Pomurska,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
47834,Pomurska,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
48471,Pomurska,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
46141,Pomurska,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
43482,Pomurska,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
43945,Pomurska,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
41877,Pomurska,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
40783,Pomurska,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
40283,Pomurska,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
39600,Pomurska,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
39523,Pomurska,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
40573,Pomurska,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
41468,Pomurska,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
41895,Pomurska,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
42046,Pomurska,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
25045,Pomurska,Moški,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
25040,Pomurska,Moški,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
23409,Pomurska,Moški,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22666,Pomurska,Moški,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22847,Pomurska,Moški,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22293,Pomurska,Moški,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
21668,Pomurska,Moški,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22375,Pomurska,Moški,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
